x,y,steering,heading
14.62203831,4.261356041,-0.535754621,-0.411533175
14.62558693,4.258733976,-0.537136897,-0.412934077
14.6291328,4.256102491,-0.538520471,-0.414340253
14.63268113,4.253457636,-0.5399074,-0.415753821
14.63619527,4.25082682,-0.541283343,-0.417160115
14.63971975,4.248176717,-0.542665738,-0.418576969
14.64323767,4.245519936,-0.544047984,-0.419997638
14.64674884,4.242856612,-0.545430008,-0.421422052
14.65025464,4.240185664,-0.546812369,-0.422850793
14.65375395,4.237507918,-0.548194636,-0.424283419
14.6572473,4.234822961,-0.549577019,-0.425720154
14.66073965,4.232126903,-0.55096151,-0.427163086
14.66421576,4.229431538,-0.552342059,-0.428605897
14.66768842,4.226726934,-0.553723759,-0.43005391
14.67115591,4.224014401,-0.555105933,-0.431506427
14.67461815,4.221293969,-0.556488561,-0.432963434
14.67810866,4.218539053,-0.55788509,-0.434439192
14.68152403,4.215831491,-0.5592541,-0.435889815
14.68496671,4.21309017,-0.560636641,-0.437358804
14.68840194,4.21034259,-0.562018797,-0.438831415
14.69183077,4.207587881,-0.563401004,-0.440308118
14.69525323,4.204826001,-0.56478328,-0.441788938
14.69866908,4.202057117,-0.56616554,-0.443273787
14.70207826,4.199281254,-0.567547771,-0.444762657
14.70548131,4.196497944,-0.568930201,-0.446255801
14.70887661,4.193708494,-0.570312181,-0.447752521
14.71226624,4.190911169,-0.57169457,-0.449253752
14.71564873,4.188107143,-0.573076784,-0.450758867
14.71902833,4.185292863,-0.574460566,-0.452269778
14.72239408,4.182477448,-0.57584144,-0.453781589
14.72575712,4.179651568,-0.57722398,-0.455299316
14.72911413,4.176817954,-0.578606845,-0.456821497
14.73246252,4.173978775,-0.579988973,-0.458346969
14.7358032,4.171133259,-0.581370745,-0.459876151
14.73913917,4.168278798,-0.582753423,-0.461410448
14.74246719,4.16541815,-0.584135667,-0.462948383
14.74578901,4.162549777,-0.58551822,-0.464490785
14.74910076,4.159677017,-0.586899477,-0.466035863
14.75240751,4.156795434,-0.588281568,-0.467586009
14.75571253,4.153902128,-0.589665873,-0.469142789
14.75900623,4.151005448,-0.591048395,-0.470701711
14.76229176,4.148102632,-0.59243046,-0.472264268
14.76557132,4.145191719,-0.593812998,-0.473831519
14.76884303,4.142274343,-0.595195233,-0.475402589
14.7721083,4.139349216,-0.596577774,-0.476978178
14.77536428,4.13641887,-0.597959425,-0.478556923
14.7786165,4.133478299,-0.599342543,-0.480141531
14.78186174,4.130530361,-0.600725778,-0.481730465
14.78509268,4.127581719,-0.602106013,-0.483320134
14.78831827,4.124624215,-0.603487073,-0.484914944
14.79153879,4.121657534,-0.604869098,-0.486515073
14.79475281,4.118682942,-0.606251492,-0.48811984
14.79796029,4.115700447,-0.607634249,-0.489729249
14.80115983,4.112711303,-0.609016786,-0.491342627
14.80434883,4.109717955,-0.610397978,-0.492958658
14.80753353,4.106714499,-0.611780547,-0.494580539
14.81070984,4.103704758,-0.61316273,-0.496206208
14.81387863,4.100687882,-0.614544918,-0.497836131
14.81703901,4.097664689,-0.615926737,-0.499469871
14.82019384,4.094632418,-0.617309446,-0.501108928
14.82334106,4.091593009,-0.618692158,-0.502752259
14.82647978,4.088547273,-0.620074505,-0.504399431
14.82961126,4.085493986,-0.621457042,-0.506051112
14.83273397,4.082434608,-0.622839109,-0.507706518
14.83584871,4.079368323,-0.624221077,-0.509366097
14.83895515,4.076295441,-0.625602806,-0.511029687
14.84205462,4.073214613,-0.626984903,-0.512698026
14.84514643,4.07012649,-0.628367073,-0.514370768
14.84823341,4.067028184,-0.629750605,-0.516049486
14.85136187,4.063872761,-0.631156368,-0.517759655
14.85438003,4.060813787,-0.63251605,-0.519417958
14.85744069,4.057696638,-0.633898439,-0.521108299
14.860493,4.054572717,-0.635280669,-0.522802792
14.86353656,4.051442429,-0.636662562,-0.524501227
14.86657443,4.048302588,-0.638045524,-0.526205341
14.86967105,4.045085949,-0.639459053,-0.52795169
14.87261958,4.042008068,-0.640808569,-0.529623126
14.87566953,4.038808503,-0.642208275,-0.53136122
14.87864411,4.035672488,-0.643577098,-0.53306527
14.88163361,4.032505069,-0.644956538,-0.53478692
14.88462047,4.029324625,-0.646338552,-0.536516184
14.88759819,4.026137988,-0.647720165,-0.538249355
14.89057343,4.022937974,-0.649104482,-0.539990353
14.89353401,4.019737648,-0.650485855,-0.541732069
14.8964873,4.016529046,-0.65186773,-0.543478851
14.89943477,4.013310532,-0.653250807,-0.545231599
14.90237131,4.010087624,-0.654632714,-0.546987312
14.90530007,4.006856858,-0.65601494,-0.54874789
14.90822103,4.00361821,-0.657397495,-0.550513353
14.91113264,4.00037343,-0.658760337,-0.552282707
14.9140365,3.997121491,-0.659912512,-0.554056002
14.91693163,3.993863473,-0.661064504,-0.555832657
14.91981635,3.99060124,-0.662215658,-0.55761166
14.92269713,3.987328258,-0.663151882,-0.55939605
14.92556693,3.984054059,-0.663671007,-0.561179599
14.92843651,3.980766333,-0.664191453,-0.562969019
14.9312915,3.977481535,-0.664710617,-0.564755359
14.93417548,3.974151338,-0.664704341,-0.56656355
14.93706384,3.970804141,-0.664630367,-0.568377941
14.93985418,3.967559106,-0.664558734,-0.570134074
14.94264642,3.964300556,-0.664486885,-0.571894683
14.94546835,3.960995512,-0.664486885,-0.573677709
14.94828467,3.957685119,-0.664486885,-0.575460909
14.95113013,3.954328284,-0.664486885,-0.577266372
14.95389556,3.951054039,-0.664486885,-0.579024762
14.956772,3.947635945,-0.664486885,-0.580857627
14.95952753,3.94434955,-0.664486885,-0.582617214
14.96226254,3.941075991,-0.664486885,-0.584367358
14.96504227,3.937736931,-0.664486885,-0.586149891
14.9678078,3.934402878,-0.664486885,-0.587927121
14.97057043,3.931060235,-0.664486885,-0.589706309
14.97332527,3.927714931,-0.664486885,-0.591484302
14.97606906,3.924370954,-0.664486885,-0.593258997
14.97880938,3.92101908,-0.664486885,-0.595035298
14.98154367,3.917662446,-0.664486885,-0.596811544
14.98427109,3.914302063,-0.664486885,-0.598587209
14.98699096,3.910938802,-0.664486885,-0.60036184
14.9897044,3.90757129,-0.664486885,-0.602136171
14.99241099,3.904200058,-0.664486885,-0.603909929
14.99511047,3.900825437,-0.664486885,-0.605682949
14.99780376,3.897446292,-0.664486885,-0.607455834
15.0004926,3.894060418,-0.664486885,-0.609229745
15.00317354,3.890672182,-0.664486885,-0.6110024
15.00584631,3.887281947,-0.664486885,-0.61277362
15.00851267,3.883887483,-0.664486885,-0.61454458
15.01117047,3.880491571,-0.664486885,-0.616313837
15.01382222,3.877090999,-0.664486885,-0.618083076
15.01646221,3.873693143,-0.664486885,-0.619848471
15.01909948,3.870286394,-0.664486885,-0.621616064
15.02173098,3.866874645,-0.664486885,-0.623383834
15.02435484,3.863460344,-0.664486885,-0.625150522
15.02697229,3.860041906,-0.664486885,-0.626916954
15.02961551,3.856577068,-0.664486885,-0.628704934
15.03218574,3.853195546,-0.664486885,-0.630447574
15.03480948,3.849730976,-0.664486885,-0.632230627
15.03740043,3.846297044,-0.664486885,-0.633995544
15.03998277,3.842861944,-0.664486885,-0.635758716
15.04253677,3.839452109,-0.664486885,-0.637506617
15.04510477,3.836010999,-0.664486885,-0.639268237
15.04766847,3.832563,-0.664486885,-0.641031068
15.05025785,3.829067527,-0.664486885,-0.642815819
15.05277063,3.825662937,-0.664486885,-0.644551906
15.0553075,3.822213122,-0.664486885,-0.646308791
15.05786539,3.81872181,-0.664486885,-0.648084507
15.06040826,3.815238079,-0.664486885,-0.649854071
15.06293102,3.811769047,-0.664486885,-0.651613904
15.06544935,3.808293261,-0.664486885,-0.653374912
15.06794799,3.80483188,-0.664486885,-0.655126396
15.07041085,3.801407503,-0.664486885,-0.656856983
15.07290436,3.797927748,-0.664486885,-0.658613358
15.07538948,3.794446786,-0.664486885,-0.660368136
15.07786827,3.790961791,-0.664486885,-0.662122752
15.08034378,3.787468439,-0.664486885,-0.663879385
15.08280518,3.783982048,-0.664486885,-0.665630344
15.08526331,3.78048732,-0.664486885,-0.667383325
15.08771543,3.776988108,-0.664486885,-0.669136396
15.09015912,3.773487891,-0.664486885,-0.670887822
15.09259659,3.769983523,-0.664486885,-0.672639187
